"FullName","Length"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\analyze_comparison.py","6008"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\batch_result.json","1880"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\case_result_01_internal_trigger_1.json","537"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\case_result_02_external_trigger_1.json","537"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\case_result_03_external_pulse_1.json","533"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\comparison.json","15955"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\execution.txt","7824"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\operation_plan.json","892"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\run_three_modes.py","1917"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\three_modes_comparison.png","374073"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\01_internal_trigger\case.json","505"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\01_internal_trigger\picoscope_slow_once.yaml","2470"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\01_internal_trigger\run_direct_air.py","23393"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\direct_air_1000ma_three_modes_20260903T024905_977175Z\01_internal_trigger\standalone_air_scan_operation.json","2893"
