"FullName","Length"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\compare_post_alignment.py","5159"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\launch_context.json","1215"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\launcher_result.json","1919885"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\post_alignment_three_scan_comparison.json","5513"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\post_alignment_three_scan_comparison.png","665009"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\run_authorized_air_scan.py","1879"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\air_scan.png","288799"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\analysis.json","1674"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\cleanup.json","122"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\commands.txt","131012"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\detectors.csv","3375134"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\hf2li_baseline_0.json","200"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\hf2li_baseline_1.json","200"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\hf2li_baseline_2.json","200"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\hf2li_configured.json","5805"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\hf2li_retained_settings.json","5033"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\hf2li_retention_verification.json","209"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_before.json","1140"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_configured.json","747"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_emission_before_scan.json","1333"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_final.json","1140"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_retained_settings.json","635"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_trigger_after_manual_tune_cancel.json","479"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_trigger_after_sweep_setup.json","472"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_trigger_after_tune.json","281"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_trigger_before_process_trigger.json","477"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_tuned_before_emission.json","1159"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\mircat_waiting_process.json","1159"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\operation.json","1211"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\picoscope_metadata.json","309"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\picoscope_prepared.json","765"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\result.json","586"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\t660_1_before_process.json","3185"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\t660_1_final_idle.json","3186"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\t660_1_initial_idle.json","3186"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\t660_1_process_only.json","3185"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\t660_2_final_idle.json","3267"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\t660_2_initial_idle.json","3267"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\air_scan_post_alignment_repeat_20260903T214445_6204197Z\mircat_sweep_20260903T214450_404110Z\t660_2_optical_trigger_prepared.json","3265"
