"FullName","Length"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\failure_analysis.json","3158"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\hf2li_detector_rate_adjustment_commands.txt","728"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\hf2li_detector_rate_adjustment.json","790"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\hf2li_rate_rounding_check_commands.txt","878"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\hf2li_rate_rounding_check.json","675"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\operation_authorization.json","1402"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\operation_outcome_after_logging_fix.json","566"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\operation_outcome.json","590"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\preparation_resume.json","463"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\prepared_air_scan_after_corrections.json","5398"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\retention_change_20260907.md","718"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\acquisition_preflight.json","1566"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\air_checkout_context.json","298"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\cleanup.json","54"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\commands.txt","76140"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\hf2li_before.json","5801"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\hf2li_configured.json","5801"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\hf2li_final.json","5801"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\mircat_final.json","1137"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\picoscope_prepared.json","2027"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\result.json","459"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\run.json","5314"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\t660_1_final.json","3186"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\t660_2_final.json","3266"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224505_939642Z_background\t660_probe_prepared.json","3265"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\acquisition_preflight.json","1562"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\air_checkout_context.json","366"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\cleanup.json","54"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\commands.txt","78065"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\hf2li_before.json","5801"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\hf2li_configured.json","5801"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\hf2li_final.json","5801"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\mircat_final.json","1138"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\picoscope_prepared.json","2027"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\result.json","427"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\run.json","5306"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\t660_1_final.json","3186"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\t660_2_final.json","3266"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\Phase Scan\2026-09-02\20260902T224603_439271Z_background\t660_probe_prepared.json","3265"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\analyze_standalone_air.py","8083"
"C:\Users\Chris\Documents\GitHub\Control_System\evidence\experiments\runs\exploratory_air_checkout_20260902T224505_935642Z\slow_scan_once\compare_reference_waveforms.py","5265"
